time_published,ticker_sentiment_score,ticker_sentiment_label
20240307T123000,0.136981,Neutral
20240307T130258,0.052821,Neutral
20240307T132400,0.00985,Neutral
20240307T132400,-0.201102,Somewhat-Bearish
20240307T133000,0.132003,Neutral
20240307T133700,0.141459,Neutral
20240307T141539,-0.113185,Neutral
20240307T141612,-0.375893,Bearish
20240307T142600,0.008757,Neutral
20240307T143000,-0.122555,Neutral
20240307T151116,0.178983,Somewhat-Bullish
20240307T151929,0.058673,Neutral
20240307T153000,0.133933,Neutral
20240307T153100,-0.016079,Neutral
20240307T160300,0.121493,Neutral
20240307T162300,-0.070716,Neutral
20240307T162303,-0.078893,Neutral
20240307T172500,0.17091,Somewhat-Bullish
20240307T172853,0.116623,Neutral
20240307T174419,-0.070235,Neutral
20240307T174701,0.060883,Neutral
20240307T175112,0.105085,Neutral
20240307T180824,0.500561,Bullish
20240307T182308,0.13265,Neutral
20240307T191249,-0.064715,Neutral
20240307T191332,0.217452,Somewhat-Bullish
20240307T192339,-0.011675,Neutral
20240307T193141,0.056467,Neutral
20240307T194444,-0.282679,Somewhat-Bearish
20240307T194900,-0.029281,Neutral
20240307T201253,0.09963,Neutral
20240307T202002,0.253046,Somewhat-Bullish
20240307T202800,0.145544,Neutral
20240307T203000,0.310497,Somewhat-Bullish
20240307T211001,0.016904,Neutral
20240307T215600,0.0,Neutral
20240307T224518,0.368509,Bullish
20240308T025947,-0.246964,Somewhat-Bearish
20240308T040116,-0.208088,Somewhat-Bearish
20240308T040116,-0.210167,Somewhat-Bearish
20240308T041538,0.111011,Neutral
20240308T042247,-0.363786,Bearish
20240308T044312,0.219452,Somewhat-Bullish
20240308T045630,-0.100433,Neutral
20240308T050000,0.214648,Somewhat-Bullish
20240308T052253,0.104868,Neutral
20240308T053716,0.315097,Somewhat-Bullish
20240308T060645,-0.073732,Neutral
20240308T064547,0.176348,Somewhat-Bullish
20240308T080000,-0.135844,Neutral
20240308T081430,-0.065022,Neutral
20240308T081739,-0.122874,Neutral
20240308T095336,0.331414,Somewhat-Bullish
20240308T100300,0.186973,Somewhat-Bullish
20240308T102449,0.354702,Bullish
20240308T102600,0.427671,Bullish
20240308T103100,0.315872,Somewhat-Bullish
20240308T110000,0.1365,Neutral
20240308T110756,0.144427,Neutral
20240308T111513,-0.073745,Neutral
20240308T113620,-0.020446,Neutral
20240308T114059,0.189084,Somewhat-Bullish
20240308T120000,0.132891,Neutral
20240308T120000,0.026993,Neutral
20240308T123022,0.035525,Neutral
20240308T131253,0.087615,Neutral
20240308T131947,0.052215,Neutral
20240308T132000,0.04339,Neutral
20240308T132350,-0.059794,Neutral
20240308T133227,0.148832,Neutral
20240308T134500,0.060247,Neutral
20240308T134500,0.062568,Neutral
20240308T134800,-0.075896,Neutral
20240308T140956,0.182096,Somewhat-Bullish
20240308T142000,-0.223195,Somewhat-Bearish
20240308T143031,0.120631,Neutral
20240308T145900,0.150511,Somewhat-Bullish
20240308T151242,0.05553,Neutral
20240308T153000,0.034477,Neutral
20240308T154119,0.0,Neutral
20240308T154721,0.213213,Somewhat-Bullish
20240308T154900,-0.011361,Neutral
20240308T155800,-0.138354,Neutral
20240308T155919,-0.084425,Neutral
20240308T162300,-0.003894,Neutral
20240308T164710,-0.135844,Neutral
20240308T170040,0.027911,Neutral
20240308T170910,0.0,Neutral
20240308T180850,0.419861,Bullish
20240308T190735,0.091255,Neutral
20240308T195600,0.075457,Neutral
20240308T195700,-0.22855,Somewhat-Bearish
20240308T202300,-0.082968,Neutral
20240308T204049,0.06464,Neutral
20240308T220316,0.162726,Somewhat-Bullish
20240308T224424,0.014714,Neutral
20240308T225543,-0.03448,Neutral
20240309T014128,0.127342,Neutral
20240309T032808,0.208854,Somewhat-Bullish
20240309T034818,0.096282,Neutral
20240309T051308,-0.106378,Neutral
20240309T051500,-0.145634,Neutral
20240309T055624,0.138504,Neutral
20240309T064301,0.154392,Somewhat-Bullish
20240309T073741,0.092483,Neutral
20240309T075728,-0.315562,Somewhat-Bearish
20240309T081810,0.246954,Somewhat-Bullish
20240309T084728,0.008196,Neutral
20240309T100000,0.114527,Neutral
20240309T105000,0.275864,Somewhat-Bullish
20240309T105307,-0.189158,Somewhat-Bearish
20240309T105307,-0.191944,Somewhat-Bearish
20240309T121900,0.082431,Neutral
20240309T124530,0.098068,Neutral
20240309T125000,0.326856,Somewhat-Bullish
20240309T125200,0.138999,Neutral
20240309T130600,0.087378,Neutral
20240309T131500,0.021157,Neutral
20240309T132721,-0.02547,Neutral
20240309T135500,0.107282,Neutral
20240309T140001,0.084901,Neutral
20240309T160000,-0.076879,Neutral
20240309T160000,0.037925,Neutral
20240309T175113,0.154199,Somewhat-Bullish
20240309T211225,0.206172,Somewhat-Bullish
20240310T010014,-0.066553,Neutral
20240310T050000,0.060899,Neutral
20240310T084900,0.246059,Somewhat-Bullish
20240310T091200,0.203852,Somewhat-Bullish
20240310T092700,0.199562,Somewhat-Bullish
20240310T093604,0.178718,Somewhat-Bullish
20240310T095634,0.058103,Neutral
20240310T100100,0.084228,Neutral
20240310T100500,0.013996,Neutral
20240310T101200,0.05018,Neutral
20240310T102200,-0.112202,Neutral
20240310T103700,0.187907,Somewhat-Bullish
20240310T110000,0.12557,Neutral
20240310T110700,0.167619,Somewhat-Bullish
20240310T113931,0.0,Neutral
20240310T122000,0.225641,Somewhat-Bullish
20240310T131050,-0.07432,Neutral
20240310T132900,0.12536,Neutral
20240310T140035,0.06111,Neutral
20240310T140624,0.138661,Neutral
20240310T142253,0.227819,Somewhat-Bullish
20240310T145750,-0.07432,Neutral
20240310T172800,0.0,Neutral
20240310T172800,0.0,Neutral
20240310T180602,0.065161,Neutral
20240310T182348,0.066774,Neutral
20240310T230810,0.281662,Somewhat-Bullish
20240310T231716,0.039605,Neutral
20240310T233055,0.109203,Neutral
20240311T021053,0.2865,Somewhat-Bullish
20240311T024130,0.027163,Neutral
20240311T033600,-0.03902,Neutral
20240311T050006,0.108767,Neutral
20240311T062117,-0.025609,Neutral
20240311T062211,0.070381,Neutral
20240311T063958,0.505547,Bullish
20240311T070000,-0.246489,Somewhat-Bearish
20240311T070000,0.0,Neutral
20240311T070700,0.141778,Neutral
20240311T080036,0.021564,Neutral
20240311T083300,0.298248,Somewhat-Bullish
20240311T090000,0.228275,Somewhat-Bullish
20240311T090600,0.10806,Neutral
20240311T092414,0.0952,Neutral
20240311T093000,0.197563,Somewhat-Bullish
20240311T094500,0.053399,Neutral
20240311T095754,0.102497,Neutral
20240311T100200,0.278667,Somewhat-Bullish
20240311T100500,0.152829,Somewhat-Bullish
20240311T102000,-0.068718,Neutral
20240311T102005,0.04982,Neutral
20240311T105300,0.137354,Neutral
20240311T110200,0.095839,Neutral
20240311T120022,0.155047,Somewhat-Bullish
20240311T120400,-0.034702,Neutral
20240311T122444,0.07909,Neutral
20240311T123000,0.065096,Neutral
20240311T124600,0.160059,Somewhat-Bullish
20240311T124613,0.026785,Neutral
20240311T124913,-0.012712,Neutral
20240311T130016,0.259396,Somewhat-Bullish
20240311T130203,0.019019,Neutral
20240311T133000,0.116388,Neutral
20240311T133800,0.158956,Somewhat-Bullish
20240311T134500,0.143304,Neutral
20240311T134525,0.186237,Somewhat-Bullish
20240311T134923,0.0,Neutral
20240311T141100,0.003586,Neutral
20240311T141128,0.004371,Neutral
20240311T142700,0.017162,Neutral
20240311T142800,-0.012107,Neutral
20240311T144419,0.0,Neutral
20240311T150120,-0.246489,Somewhat-Bearish
20240311T153610,0.141662,Neutral
20240311T155112,0.253206,Somewhat-Bullish
20240311T160812,0.122999,Neutral
20240311T170753,0.169223,Somewhat-Bullish
20240311T171500,0.207607,Somewhat-Bullish
20240311T172800,0.0,Neutral
20240311T172947,0.112459,Neutral
20240311T173300,0.061719,Neutral
20240311T174100,-0.05343,Neutral
20240311T174618,-0.035066,Neutral
20240311T184208,0.0,Neutral
20240311T191745,0.422528,Bullish
20240311T191900,0.065612,Neutral
20240311T192710,0.27942,Somewhat-Bullish
20240311T204348,0.175994,Somewhat-Bullish
20240311T210648,0.034279,Neutral
20240312T000808,-0.144446,Neutral
20240312T012637,0.11096,Neutral
20240312T014200,-0.048498,Neutral
20240312T015922,0.0,Neutral
20240312T023337,0.011821,Neutral
20240312T030133,0.190999,Somewhat-Bullish
20240312T040100,0.09265,Neutral
20240312T040100,0.09265,Neutral
20240312T040100,0.046956,Neutral
20240312T040100,-0.045148,Neutral
20240312T043048,-0.023589,Neutral
20240312T043200,0.18965,Somewhat-Bullish
20240312T044322,0.321572,Somewhat-Bullish
20240312T052327,-0.083556,Neutral
20240312T055806,0.049414,Neutral
20240312T060031,-0.477806,Bearish
20240312T060324,0.071371,Neutral
20240312T060354,0.040134,Neutral
20240312T071000,0.078523,Neutral
20240312T071017,0.127179,Neutral
20240312T075934,-0.043331,Neutral
20240312T084200,-0.464871,Bearish
20240312T090000,0.349769,Somewhat-Bullish
20240312T090016,0.147202,Neutral
20240312T091039,-0.287887,Somewhat-Bearish
20240312T091124,-0.158254,Somewhat-Bearish
20240312T100051,0.089387,Neutral
20240312T101500,0.205055,Somewhat-Bullish
20240312T103250,-0.037932,Neutral
20240312T104511,0.341973,Somewhat-Bullish
20240312T110000,0.046709,Neutral
20240312T110000,-0.241413,Somewhat-Bearish
20240312T110013,0.434083,Bullish
20240312T110500,0.092311,Neutral
20240312T113815,0.061752,Neutral
20240312T120033,0.053125,Neutral
20240312T120900,0.015551,Neutral
20240312T122002,-0.072621,Neutral
20240312T122451,0.105644,Neutral
20240312T123024,0.27474,Somewhat-Bullish
20240312T123800,0.105166,Neutral
20240312T125200,-0.175943,Somewhat-Bearish
20240312T130100,-0.168993,Somewhat-Bearish
20240312T130422,0.082825,Neutral
20240312T131000,0.140856,Neutral
20240312T132304,-0.078246,Neutral
20240312T141028,0.208013,Somewhat-Bullish
20240312T141109,-0.032803,Neutral
20240312T141800,0.160836,Somewhat-Bullish
20240312T143218,0.115687,Neutral
20240312T143300,-0.012824,Neutral
20240312T145500,0.075956,Neutral
20240312T150004,0.183012,Somewhat-Bullish
20240312T151046,0.114989,Neutral
20240312T151644,0.21846,Somewhat-Bullish
20240312T153000,0.058012,Neutral
20240312T153011,-0.035657,Neutral
20240312T154300,0.075471,Neutral
20240312T154307,0.084335,Neutral
20240312T160451,-0.162445,Somewhat-Bearish
20240312T161000,0.219353,Somewhat-Bullish
20240312T165200,0.201229,Somewhat-Bullish
20240312T170000,0.210195,Somewhat-Bullish
20240312T171627,0.180541,Somewhat-Bullish
20240312T172400,-0.289925,Somewhat-Bearish
20240312T172900,-0.018406,Neutral
20240312T174343,0.062624,Neutral
20240312T174809,0.222636,Somewhat-Bullish
20240312T185326,0.188894,Somewhat-Bullish
20240312T193327,-0.033383,Neutral
20240312T193327,-0.033383,Neutral
20240312T193423,0.162684,Somewhat-Bullish
20240312T202900,-0.081318,Neutral
20240312T211813,0.384587,Bullish
20240312T215720,0.256523,Somewhat-Bullish
20240312T215800,0.150333,Somewhat-Bullish
20240312T215840,0.00318,Neutral
20240312T230345,0.039799,Neutral
20240313T013431,-0.040641,Neutral
20240313T015400,-0.081209,Neutral
20240313T021948,0.296755,Somewhat-Bullish
20240313T034100,0.025213,Neutral
20240313T034203,-0.020991,Neutral
20240313T034828,0.087573,Neutral
20240313T040000,0.073193,Neutral
20240313T051730,-0.199311,Somewhat-Bearish
20240313T053014,0.108332,Neutral
20240313T053255,0.35063,Bullish
20240313T070000,-0.537764,Bearish
20240313T071843,0.018881,Neutral
20240313T072656,0.167122,Somewhat-Bullish
20240313T072915,0.019713,Neutral
20240313T073046,0.00284,Neutral
20240313T073649,0.050015,Neutral
20240313T080000,0.120952,Neutral
20240313T080731,0.315176,Somewhat-Bullish
20240313T081354,0.108401,Neutral
20240313T083900,0.014828,Neutral
20240313T085620,-0.132,Neutral
20240313T090000,0.384802,Bullish
20240313T093000,-0.088537,Neutral
20240313T094500,-0.106424,Neutral
20240313T100000,0.138891,Neutral
20240313T103728,0.056262,Neutral
20240313T110001,0.030553,Neutral
20240313T110749,-0.396827,Bearish
20240313T111000,-0.157703,Somewhat-Bearish
20240313T111000,0.128225,Neutral
20240313T111454,0.113079,Neutral
20240313T111500,0.38647,Bullish
20240313T112535,-0.18091,Somewhat-Bearish
20240313T112724,-0.145106,Neutral
20240313T114500,0.21331,Somewhat-Bullish
20240313T115527,-0.194285,Somewhat-Bearish
20240313T120000,0.158083,Somewhat-Bullish
20240313T120000,0.016999,Neutral
20240313T120328,-0.232386,Somewhat-Bearish
20240313T121306,-0.098677,Neutral
20240313T123300,-0.011402,Neutral
20240313T123806,-0.204129,Somewhat-Bearish
20240313T124500,0.055484,Neutral
20240313T124922,0.254483,Somewhat-Bullish
20240313T125400,0.099096,Neutral
20240313T130700,-0.210397,Somewhat-Bearish
20240313T130730,-0.080346,Neutral
20240313T130800,0.252255,Somewhat-Bullish
20240313T131500,-0.148035,Neutral
20240313T132335,-0.365874,Bearish
20240313T134300,-0.10458,Neutral
20240313T134500,0.167998,Somewhat-Bullish
20240313T134800,0.107751,Neutral
20240313T141240,0.2881,Somewhat-Bullish
20240313T141500,0.214892,Somewhat-Bullish
20240313T141600,-0.209866,Somewhat-Bearish
20240313T142200,-0.152177,Somewhat-Bearish
20240313T143026,0.174796,Somewhat-Bullish
20240313T144500,0.08784,Neutral
20240313T144750,-0.099798,Neutral
20240313T150359,-0.537764,Bearish
20240313T154012,0.544988,Bullish
20240313T154300,-0.374887,Bearish
20240313T165112,0.152596,Somewhat-Bullish
20240313T165649,0.045244,Neutral
20240313T172631,0.260912,Somewhat-Bullish
20240313T174704,-0.06981,Neutral
